code,market_cap,pct_change
600500.XSHG,131.6327,0.2732240437158362
002171.XSHE,131.643,0.0
601992.XSHG,131.6797,1.324503311258285
603826.XSHG,131.9573,4.028925619834722
001914.XSHE,132.0127,-1.8473895582329258
601801.XSHG,132.1604,-0.15015015015015232
600755.XSHG,132.1938,0.33277870216306127
300364.XSHE,132.2172,0.0
000688.XSHE,132.2336,3.615520282186946
600116.XSHG,132.3203,2.686567164179099
600623.XSHG,132.5264,0.5813953488372103
601975.XSHG,132.5312,0.363636363636366
300638.XSHE,132.5921,1.697722567287796
300953.XSHE,132.6365,0.31214528944381037
002320.XSHE,132.8444,1.0238907849829282
003006.XSHE,132.9614,-3.3623910336239016
002701.XSHE,133.2408,0.9881422924901351
600416.XSHG,133.3359,0.700700700700696
603308.XSHG,133.4307,-0.10204081632654294
688110.XSHG,133.471,0.7343124165553938
600331.XSHG,133.5024,1.2326656394453073
603063.XSHG,133.6719,-2.00133422281521
300285.XSHE,133.7773,-0.3634161114476231
601126.XSHG,133.8007,0.38486209108403724
002617.XSHE,133.9149,0.5681818181818121
002075.XSHE,134.2619,1.333333333333342
002984.XSHE,134.61,-0.38022813688213253
002896.XSHE,134.7238,-1.4141414141414232
601375.XSHG,134.798,0.7792207792207684
000029.XSHE,135.0865,-0.9156311314584609
000682.XSHE,135.1319,-0.7928642220019877
300487.XSHE,135.2531,-0.06899724011038
000998.XSHE,135.3187,-0.38872691933915515
300294.XSHE,135.7438,-2.1347073978652986
600325.XSHG,135.7615,-0.7692307692307665
002399.XSHE,135.945,-2.1998166819431786
002270.XSHE,136.0448,-0.13586956521740579
002153.XSHE,136.1399,-4.815229563269874
300751.XSHE,136.2554,1.002761226565907
600667.XSHG,136.2705,0.789889415481837
600882.XSHG,136.4111,1.795949560565524
603056.XSHG,136.5533,-1.4836795252225587
002245.XSHE,136.56,-0.5568814638027053
601827.XSHG,136.7641,0.25188916876572875
600906.XSHG,136.8007,1.2799999999999923
300475.XSHE,136.8268,5.118644067796607
002698.XSHE,136.9861,0.6918238993710801
600641.XSHG,137.361,2.8651292802236217
