code,market_cap,pct_change
300457.XSHE,160.5152,-2.011605415860751
300229.XSHE,160.6376,-4.365904365904361
600475.XSHG,160.8563,-5.849889624724069
002015.XSHE,161.1961,-0.7000000000000006
002153.XSHE,161.2562,-2.608695652173909
300049.XSHE,161.3519,4.604665252953666
601156.XSHG,161.4314,-0.17523364485981796
600930.XSHG,161.5838,-2.5679758308157052
000811.XSHE,161.7288,-2.3626698168930815
300811.XSHE,161.7775,-3.1303357996585124
002891.XSHE,162.1717,0.05633802816902289
600403.XSHG,163.5316,-9.762532981530347
002747.XSHE,163.6009,-2.3353573096683844
002987.XSHE,163.7325,2.4274406332453813
688116.XSHG,163.7665,-2.0819636204251646
002378.XSHE,163.8511,0.808823529411784
601137.XSHG,163.9302,-2.9168692270296614
600675.XSHG,164.4549,-0.3663003663003539
600867.XSHG,164.9093,-2.4333719582850577
600928.XSHG,164.9911,0.0
688006.XSHG,165.1043,-1.795332136445238
600259.XSHG,165.1564,-4.882774656074396
002396.XSHE,165.2433,0.14139271827500188
603556.XSHG,165.4757,-2.6044647967944923
300773.XSHE,165.4959,5.231200373657163
600206.XSHG,165.5012,-2.8330019880715707
300170.XSHE,165.6197,-4.614518851997751
600959.XSHG,166.0238,-2.064896755162249
601326.XSHG,166.0388,-1.412429378531066
600859.XSHG,166.2142,2.35294117647058
601677.XSHG,166.6233,-2.4946543121881604
600869.XSHG,167.5611,-3.0808729139923052
002245.XSHE,167.9834,-1.963267891070286
000061.XSHE,167.9964,-2.463054187192115
603730.XSHG,168.0193,-3.575832305795301
002958.XSHE,168.62900000000005,-0.6410256410256387
600012.XSHG,169.1286,-1.0906612133605997
603997.XSHG,169.3385,-1.698670605612984
300568.XSHE,169.5945,-4.071773636991027
300679.XSHE,169.6013,2.8279312595170802
601333.XSHG,170.1323,-0.660066006600657
300236.XSHE,170.3022,-1.3242894056847532
600956.XSHG,170.4712,-1.8918918918918948
601965.XSHG,170.4874,4.299754299754288
002847.XSHE,170.7763,0.49161364950838227
300567.XSHE,171.3305,-2.000000000000013
603858.XSHG,171.3674,-0.6116207951070374
688279.XSHG,171.6293,-1.3404825737265424
000801.XSHE,171.6573,-1.112412177985933
300142.XSHE,172.0875,-1.6014234875444844
000537.XSHE,172.148,0.0
601609.XSHG,172.5181,-2.634146341463406
002611.XSHE,172.6787,-2.820078962210937
600739.XSHG,172.8572,-0.877192982456132
601921.XSHG,172.8889,-1.7676767676767624
300957.XSHE,172.9135,0.492368291482026
603301.XSHG,173.0058,-1.9731887332429587
000902.XSHE,173.0173,-0.19775873434410007
688387.XSHG,173.0395,0.8225616921269108
600428.XSHG,173.1262,-1.8030513176144236
002428.XSHE,173.2504,-5.283827204569802
000563.XSHE,173.3636,-1.1661807580174988
600761.XSHG,174.0414,-2.543640897755617
000591.XSHE,174.1303,-0.6711409395973034
603662.XSHG,174.3673,-1.756329113924049
603005.XSHG,174.3907,-1.4738393515106973
002326.XSHE,174.4007,-3.789567543468575
600528.XSHG,174.614,-1.132075471698113
603667.XSHG,174.752,-2.8303807778456536
688698.XSHG,174.8627,-2.1650717703349143
002145.XSHE,174.8841,-2.697095435684649
000069.XSHE,175.2245,-1.1673151750972721
601369.XSHG,175.2279,0.29296875
002217.XSHE,175.5224,-2.8301886792452935
601636.XSHG,175.74400000000003,-3.57142857142857
003035.XSHE,175.7576,-1.906779661016944
600032.XSHG,175.7818,-1.3495276653171406
600629.XSHG,175.8501,-3.7558685446009488
688100.XSHG,175.9741,-1.9720624486442073
605196.XSHG,176.2825,-0.39942938659058846
603530.XSHG,176.5002,-3.9097044449616036
300953.XSHE,176.8632,-3.1559532754969477
601918.XSHG,176.93400000000003,-1.3005780346820761
600416.XSHG,176.9418,-4.574696211579699
000582.XSHE,177.8326,-1.1173184357541888
601016.XSHG,178.015,-0.6622516556291425
300738.XSHE,178.0699,-3.6247334754797578
600258.XSHG,178.0982,3.706111833550052
688766.XSHG,178.5028,-1.2126177795985238
688400.XSHG,178.5824,-4.108910891089101
002565.XSHE,178.6006,3.820086260012334
600057.XSHG,179.1189,-0.580720092915199
300468.XSHE,179.2823,7.2243346007604625
600114.XSHG,179.30599999999995,-2.185608607935441
001213.XSHE,180.0,-0.24630541871920597
600763.XSHG,180.4812,0.248447204968949
688343.XSHG,180.5918,-3.9028499227853453
300735.XSHE,180.8712,-1.3223140495867813
002756.XSHE,180.9152,3.1929046563192953
000785.XSHE,181.0561,2.6755852842809347
600339.XSHG,181.4523,-1.812688821752273
002249.XSHE,181.5116,-2.7450980392156765
300487.XSHE,181.8604,-0.5866577271203433
601019.XSHG,181.9777,-0.11454753722794919
000636.XSHE,182.2296,-4.255319148936165
000937.XSHE,182.3134,-1.1173184357541999
001696.XSHE,182.8258,-2.8422548555187
300290.XSHE,182.9091,-3.1493396545885566
000543.XSHE,183.1626,-1.9417475728155331
600877.XSHG,183.174,-1.276324186343325
600410.XSHG,183.6629,-3.235124205661455
600933.XSHG,183.7467,-1.5706806282722585
600779.XSHG,184.0812,-0.7099658164607003
688281.XSHG,184.3395,-0.04433934377771065
000799.XSHE,184.446,-0.7517482517482521
301316.XSHE,184.6688,-3.1596224866639266
000875.XSHE,184.835,-2.12389380530974
600602.XSHG,185.1024,-2.929577464788735
600550.XSHG,185.2578,-3.0828516377649384
002508.XSHE,185.4967,0.25227043390514403
