code,market_cap,pct_change
001226.XSHE,4.4725,3.100436681222707
301105.XSHE,4.7636,2.2582921665490474
301234.XSHE,4.8608,3.5275465715418175
001259.XSHE,5.0195,9.966134494436375
001336.XSHE,5.166,3.4542314335060276
001255.XSHE,5.184,1.8489378442171578
688530.XSHG,5.2463,0.0
301314.XSHE,5.3723,1.7641597028783762
001260.XSHE,5.3753,1.3872135102533267
301227.XSHE,5.545,2.509410288582181
301288.XSHE,5.6276,2.6632302405498187
603307.XSHG,5.7715,1.5663390663390508
301309.XSHE,5.7825,2.1904336164505933
301388.XSHE,5.8133,2.6188166828321924
301295.XSHE,5.8418,2.289281997918846
301359.XSHE,5.8984,1.675257731958757
001231.XSHE,5.9307,2.9925187032419087
301212.XSHE,6.0129,2.6376677464136966
301287.XSHE,6.0291,20.006910850034544
001326.XSHE,6.0951,2.350877192982459
001366.XSHE,6.1638,2.310536044362288
301446.XSHE,6.2051,2.215189873417711
301279.XSHE,6.21,2.807236431690585
603280.XSHG,6.3092,2.5711662075298403
603216.XSHG,6.3379,2.5139664804469275
301097.XSHE,6.3464,2.832178366978022
603272.XSHG,6.3625,0.26954177897575704
001277.XSHE,6.3745,1.4984709480122094
301107.XSHE,6.3941,4.847576211894045
688291.XSHG,6.4337,0.1581444385872599
301125.XSHE,6.4339,2.5447690857681504
301539.XSHE,6.4491,3.83233532934133
300804.XSHE,6.4982,2.1175453759723295
301353.XSHE,6.5175,0.5063291139240533
001225.XSHE,6.602,2.0566419420094295
301552.XSHE,6.7261,1.8337021814732957
688758.XSHG,6.7473,4.548248309772607
301163.XSHE,6.7932,1.557788944723626
300784.XSHE,6.8191,2.5122418565041604
603172.XSHG,6.8209,2.5757575757575646
688426.XSHG,6.9148,3.05775764439411
301129.XSHE,6.9656,1.9607843137254832
688419.XSHG,6.9842,2.0576131687242816
001331.XSHE,6.9854,1.9567456230690006
688420.XSHG,7.0162,-0.1953125
301372.XSHE,7.0196,1.2470308788598672
301429.XSHE,7.051,3.322475570032579
001367.XSHE,7.0539,1.5695067264574147
000820.XSHE,7.0862,3.433476394849788
301148.XSHE,7.1012,3.5489410417859357
301273.XSHE,7.1369,0.7331378299120228
301088.XSHE,7.2581,3.4217279726261873
688638.XSHG,7.2893,-0.21186440677966045
301222.XSHE,7.3003,1.8618121638394713
688125.XSHG,7.3015,-0.26833631484792786
605069.XSHG,7.3052,2.721893491124261
001368.XSHE,7.366,10.000000000000009
301578.XSHE,7.3787,1.4829142488717029
300854.XSHE,7.3804,2.1126760563380476
301170.XSHE,7.4235,2.9674988224210885
603075.XSHG,7.4499,1.4092446448703555
688163.XSHG,7.4545,2.5418474891506504
301100.XSHE,7.485,1.2855209742896
000668.XSHE,7.4889,9.913793103448265
001395.XSHE,7.4905,2.788203753351226
001299.XSHE,7.5258,2.21366698748795
603073.XSHG,7.5321,2.830856334041032
002898.XSHE,7.5744,4.178272980501396
