code,market_cap,pct_change
301588.XSHE,4.6454,-3.3399800598205243
301105.XSHE,4.9641,1.0371361659417877
001259.XSHE,4.9822,-1.1388523872097989
301234.XSHE,5.0081,-1.2839325018341952
301287.XSHE,5.0566,-2.9000000000000026
001336.XSHE,5.3945,-2.1387584767866508
001260.XSHE,5.4134,-1.1098130841121545
001255.XSHE,5.636,-2.7307293466989235
301227.XSHE,5.6637,-1.4176018901358445
001226.XSHE,5.7269,-0.9177318911832266
301212.XSHE,5.805,-2.5045537340619317
001331.XSHE,5.8414,-1.1933174224343812
301288.XSHE,5.9478,-3.9543726235741428
688530.XSHG,6.0209,-4.485219164118259
603307.XSHG,6.0282,-1.7633674630261553
603261.XSHG,6.0405,-6.890960680989067
001366.XSHE,6.0747,-2.064631956912033
301314.XSHE,6.1279,-4.894750190210495
688695.XSHG,6.2538,-8.161536289183823
001231.XSHE,6.2769,-2.0266357845975524
301359.XSHE,6.2811,-4.054825813820684
301107.XSHE,6.2849,-2.135738016136679
603272.XSHG,6.2945,-1.6042780748663166
001299.XSHE,6.3159,-1.764057331863289
301295.XSHE,6.3592,-3.7769784172661858
301279.XSHE,6.4429,-5.213533000554637
301388.XSHE,6.4726,-4.305442729488229
301309.XSHE,6.495,-3.567405182125416
603280.XSHG,6.5132,-2.4524312896405887
300804.XSHE,6.5422,-1.7753922378199838
001368.XSHE,6.5515,-2.7629665535627734
605069.XSHG,6.5562,-2.3809523809523836
301446.XSHE,6.6213,-3.2288254562470864
688758.XSHG,6.6328,-6.2254627033090255
603216.XSHG,6.6951,-1.273344651952446
603172.XSHG,6.7408,-3.04347826086957
001225.XSHE,6.8334,-2.822580645161299
001326.XSHE,6.8598,-1.7065868263473116
301125.XSHE,7.0,-4.361873990306952
301539.XSHE,7.0152,-3.8245792962774083
301357.XSHE,7.0781,-3.660511823777135
301148.XSHE,7.0935,-2.324324324324323
301365.XSHE,7.1055,-2.952755905511817
688291.XSHG,7.2047,-8.943089430894313
301353.XSHE,7.225,-5.6983718937446355
300854.XSHE,7.2344,-2.515243902439024
001277.XSHE,7.2789,0.8515167642362931
001367.XSHE,7.3364,-0.05305039787799615
301163.XSHE,7.4421,-4.031209362808841
301429.XSHE,7.443,-3.735632183908033
301273.XSHE,7.4658,-1.1009174311926717
301088.XSHE,7.4945,-2.574102964118563
603073.XSHG,7.5067,-2.491582491582489
688419.XSHG,7.5404,-8.642911296436683
001256.XSHE,7.5417,-1.4046461372231311
301587.XSHE,7.6395,-5.114296784192174
301552.XSHE,7.6878,-3.663962313530489
301097.XSHE,7.7041,4.51450189155107
688130.XSHG,7.7514,-5.368171021377666
688420.XSHG,7.7564,-3.9932030586236067
001268.XSHE,7.7792,-2.612704918032782
001395.XSHE,7.8088,0.17543859649122862
301331.XSHE,7.8385,-3.289473684210531
301276.XSHE,7.8432,-0.9644364074743783
301209.XSHE,7.8449,-1.6372253339078102
603137.XSHG,7.8452,-1.5813953488372112
300784.XSHE,7.8525,-3.9161323860682717
688638.XSHG,7.867000000000001,-2.1181001283697043
688163.XSHG,7.8805,-2.0716685330347206
001300.XSHE,7.8999,-3.7933817594834607
603075.XSHG,7.91,-1.6477857878475777
301222.XSHE,7.9453,-4.285714285714281
301258.XSHE,8.1733,-3.1790744466800858
301170.XSHE,8.189,-3.9043824701195273
001278.XSHE,8.2422,-3.2796660703637515
001316.XSHE,8.2465,-1.7121702915317005
301100.XSHE,8.25,-2.7122641509434
301129.XSHE,8.3731,-5.709624796084823
688021.XSHG,8.3826,-1.526032315978454
688701.XSHG,8.3923,-1.1075949367088667
688329.XSHG,8.4141,-4.251386321626627
301037.XSHE,8.4297,2.9900332225913706
001333.XSHE,8.4304,3.349807797913229
001266.XSHE,8.4546,-4.361873990306952
000820.XSHE,8.4704,-2.684563758389269
