code,market_cap,pct_change
001260.XSHE,6.4897,-1.7779913503123357
603307.XSHG,6.8697,-1.173881144534128
301287.XSHE,7.0953,-0.16774502755810827
688755.XSHG,7.1157,0.7475703962122937
301309.XSHE,7.2135,-1.9777931991672437
301105.XSHE,7.41,0.15552099533437946
301314.XSHE,7.4782,-1.5404364569961415
001366.XSHE,7.5613,-2.5125628140703515
301636.XSHE,7.8941,0.12150668286754485
301578.XSHE,7.9287,-0.8115942028985579
301295.XSHE,7.9351,-1.818843215714805
301585.XSHE,7.956,0.990099009900991
688758.XSHG,8.1603,0.8398950131233596
301560.XSHE,8.2445,0.3552397868561208
301173.XSHE,8.3286,1.779513888888884
605069.XSHG,8.3825,-0.994035785288272
301575.XSHE,8.5118,6.936656282450682
300784.XSHE,8.5152,-1.7386208243797663
301353.XSHE,8.5442,-0.9974141115626112
301388.XSHE,8.5489,0.19236934915036752
001395.XSHE,8.5542,-0.8217301985847913
301429.XSHE,8.5792,-1.3670886075949351
603120.XSHG,8.6535,-0.571280186964418
001367.XSHE,8.8367,-1.3297872340425454
001368.XSHE,8.8493,-4.400283889283174
001256.XSHE,8.9133,-2.332884701659932
301598.XSHE,9.0393,-0.04884402474764071
603172.XSHG,9.0645,-2.792696025778729
301552.XSHE,9.0678,1.087821703369607
301446.XSHE,9.1313,0.45438657811953664
603075.XSHG,9.1482,-0.6272401433691788
301520.XSHE,9.2002,-0.6056201550387552
301049.XSHE,9.2291,-1.9116977696859272
688757.XSHG,9.2518,0.2658564375237482
301601.XSHE,9.356,0.3730077992539993
301595.XSHE,9.3798,4.676454594888524
301170.XSHE,9.4011,-0.3913198150124475
603073.XSHG,9.5271,-2.1432305279665442
301581.XSHE,9.532,-0.3762541806020203
688426.XSHG,9.5553,-0.3960396039603964
300804.XSHE,9.6415,-0.7361268403170973
688638.XSHG,9.7879,-2.734683144885619
001333.XSHE,9.8296,-1.8021978021978025
301233.XSHE,9.9038,-0.7187063286085205
301399.XSHE,9.9415,-1.8888289260658442
301037.XSHE,9.9685,-3.298153034300788
001278.XSHE,9.9755,-0.504032258064524
301499.XSHE,10.0511,-1.82309250506415
001400.XSHE,10.089,0.5381165919282394
301616.XSHE,10.096,0.07930214115781098
301361.XSHE,10.1774,-0.4466944609886836
688370.XSHG,10.2417,-1.223628691983114
688420.XSHG,10.2761,-1.5199999999999991
001373.XSHE,10.3338,-3.436532507739931
301386.XSHE,10.3397,-1.753670473083191
603400.XSHG,10.3613,0.2655035084392132
301337.XSHE,10.3856,-1.4391014391014423
301567.XSHE,10.3863,-3.2258064516129115
301502.XSHE,10.508,-1.1976047904191711
301459.XSHE,10.5153,-0.5430757837570965
001326.XSHE,10.55,-2.1680822530174337
603137.XSHG,10.5807,-2.0477815699658786
301577.XSHE,10.649,-3.2854209445585147
603190.XSHG,10.7255,0.5317128750474742
301255.XSHE,10.7271,-0.35373187124159156
301390.XSHE,10.7396,-2.8848821081830733
301512.XSHE,10.769,-3.060084878266711
301372.XSHE,10.8031,-1.9431988041853643
603262.XSHG,10.8376,1.1590003621876122
301519.XSHE,10.9124,-2.3726448011165413
301157.XSHE,10.9188,-2.0025959577229746
301665.XSHE,10.9701,-0.31282586027111536
603382.XSHG,10.9724,-0.6752411575562722
603409.XSHG,11.0151,2.401874633860568
001335.XSHE,11.0496,1.267182130584188
301418.XSHE,11.1328,-1.9445164635727208
301276.XSHE,11.1659,4.663212435233155
001231.XSHE,11.1887,-2.3093681917211173
301516.XSHE,11.2912,-0.8626001232285962
603273.XSHG,11.2958,1.1038635223281412
001336.XSHE,11.3197,-1.4198782961460377
688530.XSHG,11.3732,-1.0613207547169767
603205.XSHG,11.4057,0.0
001225.XSHE,11.5545,-1.134113411341131
300958.XSHE,11.6088,-1.9984627209838624
001230.XSHE,11.624,-1.3068949977467437
300886.XSHE,11.6579,-0.8905380333951718
301356.XSHE,11.6745,-0.3741814780168329
301533.XSHE,11.6846,6.120867768595062
301373.XSHE,11.7072,-1.6165535079211146
301503.XSHE,11.7837,-1.8398268398268414
688479.XSHG,11.7842,0.052910052910060124
603280.XSHG,11.7942,0.28510334996436626
301320.XSHE,11.7997,-0.7458405048766492
301167.XSHE,11.9265,-2.6697620429483537
301668.XSHE,11.9389,-0.21190522057407124
001223.XSHE,11.9889,-0.983606557377048
301658.XSHE,12.0412,-0.544959128065392
301535.XSHE,12.0635,-0.10565240359218242
301362.XSHE,12.2952,0.8517887563884052
300417.XSHE,12.3638,-0.49330514446793705
001382.XSHE,12.4992,-0.6407097092163583
603282.XSHG,12.5224,-0.9644670050761306
688573.XSHG,12.5537,-0.8406893652795233
603276.XSHG,12.8214,-0.9929906542056166
688273.XSHG,12.8599,-1.0204081632653073
301602.XSHE,12.9662,0.09009009009008917
001306.XSHE,12.9921,0.987951807228904
603376.XSHG,12.9985,-0.6405693950177871
301469.XSHE,13.0622,-2.173163159710245
001358.XSHE,13.1009,-1.7208413001912004
688137.XSHG,13.1029,0.19990004997501032
301272.XSHE,13.1266,-2.353763691447208
301548.XSHE,13.1332,0.42126379137412684
301591.XSHE,13.1653,0.1808318264014508
300823.XSHE,13.1763,-3.1775700934579487
301113.XSHE,13.2337,-2.4776604386677503
301515.XSHE,13.2576,-2.0949720670391025
301156.XSHE,13.2608,-1.222901612006666
001388.XSHE,13.2624,0.5563282336578546
688651.XSHG,13.3063,-1.1095031355523366
001390.XSHE,13.38,1.3252555850056913
688130.XSHG,13.4074,-0.8028545941124121
688450.XSHG,13.4119,-0.2910149145143648
301098.XSHE,13.457,-3.644158628081451
603291.XSHG,13.4751,-0.5752636625119933
603334.XSHG,13.6077,-0.36380172805819955
300854.XSHE,13.649,-3.0057803468208077
688576.XSHG,13.6572,-0.42897998093421874
301378.XSHE,13.6871,-1.8115942028985477
300535.XSHE,13.6952,-3.160149973219084
603004.XSHG,13.719,-1.2293344637558268
301359.XSHE,13.7546,-1.3248282630029418
301588.XSHE,13.7695,-1.3144058885383836
688671.XSHG,13.8199,4.056437389770728
001226.XSHE,13.8421,1.3664596273291751
300930.XSHE,13.9443,-0.604635539133358
688695.XSHG,13.9811,-1.9417475728155331
603344.XSHG,13.9832,1.2519561815336422
002830.XSHE,13.9922,-6.562499999999993
688485.XSHG,14.0171,1.273885350318471
300915.XSHE,14.0262,-1.6161616161616155
301395.XSHE,14.0734,-1.263537906137191
300912.XSHE,14.0748,-3.2448377581120957
301419.XSHE,14.1089,-0.3296373988612489
603406.XSHG,14.1342,-0.4754754754754731
300929.XSHE,14.145,-2.1052631578947434
688021.XSHG,14.1518,-2.3721665788086432
603257.XSHG,14.1581,-0.21060021060020917
301252.XSHE,14.1841,-2.8811913240530895
301203.XSHE,14.1962,-0.7661661048115276
300517.XSHE,14.2009,-0.9515570934256146
301131.XSHE,14.2333,-1.4922191430398524
001279.XSHE,14.26,-0.6133258990800083
301192.XSHE,14.2888,-0.9621765096217594
300904.XSHE,14.2891,-2.270335287926639
301139.XSHE,14.388,-1.46061554512259
301355.XSHE,14.3895,-1.6438356164383605
301559.XSHE,14.390999999999998,-0.1872659176029967
001259.XSHE,14.4012,1.508042895442352
001317.XSHE,14.5045,0.07248127567045515
301202.XSHE,14.5337,-1.3377082281675778
301006.XSHE,14.5399,-2.763385146804842
301590.XSHE,14.5661,0.755727462064848
301317.XSHE,14.5734,1.942964587903484
301335.XSHE,14.5768,0.734522560335793
688217.XSHG,14.6342,-1.9461077844311392
688061.XSHG,14.6724,-0.518925518925506
688759.XSHG,14.6959,-1.0944340212632908
300851.XSHE,14.7179,-1.484969214052878
603210.XSHG,14.769,0.7197943444730015
603082.XSHG,14.7708,0.16501650165017256
002888.XSHE,14.7748,-1.743896362730446
301163.XSHE,14.8252,-2.09613299602458
301609.XSHE,14.8418,-0.9048723897911892
301273.XSHE,14.8628,-2.4187725631768853
688296.XSHG,14.874,-3.28212290502794
301329.XSHE,14.9141,-2.124311565696313
002719.XSHE,14.9398,-4.153686396677059
301176.XSHE,14.9624,-1.8121301775147924
300838.XSHE,14.9783,-2.709847984137481
603271.XSHG,14.9844,0.3162055335968361
301300.XSHE,14.9865,-3.6388944124080336
301555.XSHE,15.0312,-0.9557183816502057
301072.XSHE,15.0461,-2.3103748910200617
300405.XSHE,15.0769,-0.14492753623189802
300713.XSHE,15.1307,-1.336432306798374
