code,market_cap,pct_change
001226.XSHE,4.8739,-0.3054600992745349
301234.XSHE,5.2382,-1.4206514206514198
001259.XSHE,5.3528,-0.16359918200408163
001255.XSHE,5.4518,-0.3730077992539771
001260.XSHE,5.4896,-1.3127853881278573
001336.XSHE,5.5344,-1.58486707566462
301105.XSHE,5.6611,-1.3745704467354014
603307.XSHG,6.018,-1.513853184804348
688758.XSHG,6.1864,0.0640204865557159
301309.XSHE,6.1875,-0.642312324367722
301314.XSHE,6.2221,-0.28645833333332815
301388.XSHE,6.2455,-0.8289703315881414
001366.XSHE,6.4366,0.6968641114982521
301295.XSHE,6.5503,-0.9337483325922546
603280.XSHG,6.5803,-1.8340975406419213
001225.XSHE,6.6882,-0.3135779241141501
001231.XSHE,6.8039999999999985,0.6907545164718254
301359.XSHE,6.8095,-0.745871070857751
301097.XSHE,6.8491,-0.9025749933634253
301287.XSHE,6.8807,-2.0696372047723455
001368.XSHE,6.9498,-1.9916628068550213
301446.XSHE,6.9676,-0.7713248638838377
301173.XSHE,7.1039,-0.542965061378653
301353.XSHE,7.1286,-1.0619469026548756
688755.XSHG,7.2399,-2.500558160303634
001331.XSHE,7.2677,-3.3771106941838602
301552.XSHE,7.2732,-0.7000840100812145
001299.XSHE,7.2824,-2.4844720496894346
603172.XSHG,7.3067,0.4820936639118534
301365.XSHE,7.3511,-1.883239171374762
301279.XSHE,7.4673,-2.848865282472235
688757.XSHG,7.4922,0.04380201489269098
301557.XSHE,7.5787,-0.6247275897137805
688419.XSHG,7.6202,-0.08206811653672652
301429.XSHE,7.6279,0.34762456546928444
301129.XSHE,7.651,-0.9380863039399556
301578.XSHE,7.6669,-0.8687837028160561
603075.XSHG,7.6699,-1.2364760432766575
301273.XSHE,7.677,-1.4228546020453425
301560.XSHE,7.7199,-0.5666567253206023
688125.XSHG,7.7279,-2.856334841628949
001326.XSHE,7.742000000000001,-0.15542430836184007
603073.XSHG,7.8426,-0.25889967637540146
688426.XSHG,7.857,1.273261508325163
301037.XSHE,7.8859,-0.5998286203941716
301222.XSHE,7.9218,-0.11090573012939586
688130.XSHG,7.9425,-2.58249641319942
688420.XSHG,7.9474,0.4310344827586299
301616.XSHE,8.056000000000001,-0.09995002498752736
301636.XSHE,8.1081,2.174749807544263
001278.XSHE,8.1209,-3.6188178528347326
688370.XSHG,8.1242,-0.4823151125401881
301100.XSHE,8.14,0.12300123001229846
301106.XSHE,8.1544,-0.7460035523978559
301361.XSHE,8.1581,-2.75357267340538
301276.XSHE,8.1613,0.6249999999999867
001367.XSHE,8.245,0.7092198581560405
301170.XSHE,8.2663,-1.1244979919678655
001256.XSHE,8.3032,-0.5882352941176339
688163.XSHG,8.3109,-1.1671087533156599
605069.XSHG,8.3572,-0.8982035928143728
301585.XSHE,8.3902,-1.8253726802555326
001277.XSHE,8.4151,-0.6727965911639489
001400.XSHE,8.4285,-2.1475092413307473
301595.XSHE,8.5213,-0.5425935973955576
301598.XSHE,8.5489,-0.7084845343010127
001335.XSHE,8.5562,2.598838816698912
603190.XSHG,8.5901,-4.464692482915722
688638.XSHG,8.5944,3.8006230529594953
300784.XSHE,8.6134,-2.180204514759787
001333.XSHE,8.6152,-0.46559751681324313
301227.XSHE,8.6534,2.0000000000000018
001266.XSHE,8.6839,-1.1244979919678655
603391.XSHG,8.695,-0.07843137254902599
301502.XSHE,8.6986,-0.2909283258397233
688671.XSHG,8.7282,-0.9885535900103992
001223.XSHE,8.7407,-1.1096433289299878
301499.XSHE,8.7412,-1.4447481452557587
688485.XSHG,8.7894,-0.5994005994006013
301386.XSHE,8.7988,-0.5819592628516057
301181.XSHE,8.7996,-1.1040339702760193
603285.XSHG,8.812000000000003,-0.3167420814479627
001300.XSHE,8.8138,0.0
301372.XSHE,8.8599,-0.3242241778601218
300965.XSHE,8.895,-4.509107063527329
301148.XSHE,8.8957,-2.0553691275167707
688710.XSHG,8.9015,-2.186816619806309
301567.XSHE,8.9229,-8.594429939077465
603120.XSHG,9.0369,9.991832289681458
301157.XSHE,9.0491,-2.6666666666666727
603273.XSHG,9.0983,-1.1606597434331123
301356.XSHE,9.1478,0.36079374624173877
301533.XSHE,9.1794,0.9380863039399667
001229.XSHE,9.1864,-2.014066496163691
301520.XSHE,9.1867,-0.9429400386847253
603163.XSHG,9.1917,0.22988505747125743
002718.XSHE,9.3508,-1.0351966873705987
301049.XSHE,9.3618,0.2752293577981568
301399.XSHE,9.4056,-4.497501388117719
002830.XSHE,9.4061,-0.21276595744680327
301151.XSHE,9.4084,3.8961038961038863
688701.XSHG,9.4128,-0.9887005649717562
001373.XSHE,9.416,0.9232954545454586
001332.XSHE,9.4257,-1.110478359908884
301258.XSHE,9.6298,-0.698567935731742
001395.XSHE,9.6413,4.070871124235409
301633.XSHE,9.6438,-1.5629440181869736
688651.XSHG,9.7241,-1.6571064372211564
603350.XSHG,9.7527,-0.11965300628178355
301331.XSHE,9.765,2.466134074331361
301512.XSHE,9.8137,0.3807106598984644
688273.XSHG,9.8401,-1.6697588126159513
301580.XSHE,9.8466,-0.4846526655896577
603137.XSHG,9.9171,-0.29806259314455463
301237.XSHE,9.9381,0.07905138339920903
301390.XSHE,9.9412,-0.5536130536130446
300417.XSHE,9.9789,-0.5203816131829853
301601.XSHE,10.0317,-1.157957244655583
001268.XSHE,10.0556,-1.87067913786092
301167.XSHE,10.1653,-1.0155721056195
688251.XSHG,10.1784,-0.8240141259564293
301519.XSHE,10.1884,0.4647560030983877
301192.XSHE,10.1913,-0.8383791336748936
603282.XSHG,10.2053,-0.5707038681039944
301459.XSHE,10.2162,-2.8081510934393705
301300.XSHE,10.2282,0.030404378230453055
603409.XSHG,10.2508,0.2450980392156854
301189.XSHE,10.2588,0.0
300665.XSHE,10.332,-0.6738544474393482
301577.XSHE,10.3476,2.2338049143708183
688021.XSHG,10.3999,-1.2336719883889735
301418.XSHE,10.4205,0.0
301233.XSHE,10.4264,-0.48111190306485696
688530.XSHG,10.4311,-1.6613418530351476
300955.XSHE,10.4864,-1.1267605633802802
301272.XSHE,10.4888,-0.5948839976204545
301102.XSHE,10.4951,-1.7110266159695797
301581.XSHE,10.548,5.670206371468645
301337.XSHE,10.5562,-0.8388037928519387
603400.XSHG,10.5572,
301113.XSHE,10.5881,-1.386036960985626
301665.XSHE,10.6031,-1.4112903225806495
001230.XSHE,10.6155,-1.4624306606152215
001358.XSHE,10.6222,-0.3080985915492995
301373.XSHE,10.6647,-0.5774088776614894
603382.XSHG,10.7628,-2.806451612903227
301586.XSHE,10.7847,-3.4482758620689724
001390.XSHE,10.7993,-0.4966139954853288
301448.XSHE,10.831,-1.0489510489510412
001306.XSHE,10.8562,-4.089474406477289
301252.XSHE,10.8757,-1.203266007735282
688291.XSHG,10.8844,-9.997207483943049
001360.XSHE,10.8932,0.0
301398.XSHE,10.8979,-1.8680325399216602
301419.XSHE,10.9062,-1.1534025374855816
301278.XSHE,10.9414,-0.35121328224776427
301329.XSHE,10.9638,-0.6550218340611424
688479.XSHG,10.9679,-2.2222222222222143
603207.XSHG,11.072,1.157148189623003
301255.XSHE,11.0737,-3.54892205638474
301518.XSHE,11.0866,-1.2001920307249114
301161.XSHE,11.0922,-1.5151515151515138
688721.XSHG,11.1072,1.7861512111573274
300405.XSHE,11.1147,0.19723865877712132
603205.XSHG,11.142,-3.0811365970558113
300904.XSHE,11.24,-3.981220657276996
603201.XSHG,11.2487,-1.1212333566923638
301378.XSHE,11.255,-2.2848438690022954
301235.XSHE,11.2706,-0.5395683453237266
301516.XSHE,11.3333,1.1271133375078124
688237.XSHG,11.3434,0.7045009784735878
300958.XSHE,11.3539,-2.4256651017214304
300912.XSHE,11.3733,-0.9715994020926821
301503.XSHE,11.380999999999998,-1.3053348467650383
301603.XSHE,11.3877,-1.6068447412354026
300535.XSHE,11.4362,0.2680965147453085
603257.XSHG,11.451,-0.5298855447223416
688137.XSHG,11.4593,0.1713796058269157
001316.XSHE,11.5026,-2.5198938992042508
688693.XSHG,11.5317,-1.13969391077825
301607.XSHE,11.5363,2.134502923976589
301658.XSHE,11.5603,6.989247311827973
301469.XSHE,11.5607,0.1996007984031989
688045.XSHG,11.5648,-2.4483306836247998
300823.XSHE,11.6246,-1.295896328293733
603211.XSHG,11.6334,-2.450142450142445
301535.XSHE,11.6388,1.1979166666666652
301362.XSHE,11.6395,0.15317845289761767
301289.XSHE,11.6591,0.2591792656587488
