code,market_cap,pct_change
001226.XSHE,4.9859,1.4649190439475657
001259.XSHE,5.0963,1.5845070422535246
301234.XSHE,5.1149,2.1553325901152
688530.XSHG,5.2655,2.2457891453524503
301105.XSHE,5.3142,3.2907348242811496
301287.XSHE,5.525,1.9865427747516762
001255.XSHE,5.64,6.024096385542177
001336.XSHE,5.66,2.02072538860103
001260.XSHE,5.6896,2.595155709342567
301314.XSHE,5.8549,2.8710881424059753
301227.XSHE,5.9556,3.6009445100354087
301309.XSHE,6.0625,1.7402376910016892
301388.XSHE,6.1963,3.8213627992633503
603307.XSHG,6.2441,2.757036186099948
688758.XSHG,6.3444,2.5000000000000133
001366.XSHE,6.3531,1.4222222222222136
001231.XSHE,6.4933,2.1017699115044364
001326.XSHE,6.5427,0.3204101249599356
301295.XSHE,6.615,2.6740433379437434
301097.XSHE,6.6858,1.4959074230877834
603216.XSHG,6.9502,0.6666666666666599
001331.XSHE,6.9905,-2.5565388397246758
300804.XSHE,7.0235,1.6315161161957858
001368.XSHE,7.0397,1.7686424474187223
301446.XSHE,7.082000000000002,3.4611786716557624
301359.XSHE,7.1014,2.1413276231263323
001277.XSHE,7.1421,0.053806833467828774
688426.XSHG,7.1427,0.0
001299.XSHE,7.1646,2.5592417061611306
001225.XSHE,7.1784,-1.878354203935606
603280.XSHG,7.2229,5.441055234954639
603272.XSHG,7.2551,4.3665436654366285
301279.XSHE,7.2651,3.767491926803035
301125.XSHE,7.3421,4.020100502512558
301148.XSHE,7.3527,0.4779607010090503
688420.XSHG,7.3778,3.0695443645083698
301353.XSHE,7.435,2.4423337856173566
301552.XSHE,7.5212,2.709640616086695
603172.XSHG,7.537000000000001,2.7472527472527597
301429.XSHE,7.5663,3.2766990291262177
301107.XSHE,7.574,2.095316351684473
688291.XSHG,7.6423,1.9882512426570242
688419.XSHG,7.6623,3.246205733558183
300784.XSHE,7.7189,4.126074498567323
001367.XSHE,7.7209,1.3803680981595123
688163.XSHG,7.7252,1.3601419278533422
688638.XSHG,7.7381,2.6694045174538106
301129.XSHE,7.7412,4.241833252072147
301222.XSHE,7.7459,2.7122641509433887
301173.XSHE,7.7970000000000015,2.81627179257935
688125.XSHG,7.8014,5.117647058823538
301276.XSHE,7.9993,0.5988023952095967
603075.XSHG,8.042,0.8831168831168856
603073.XSHG,8.0614,0.7124352331606243
301567.XSHE,8.0818,2.991569214033163
603120.XSHG,8.0891,3.166001140901309
301100.XSHE,8.115,1.2476606363069243
688757.XSHG,8.1176,5.229591836734704
688130.XSHG,8.1311,3.3814022874191885
301357.XSHE,8.1515,3.1315868714242745
301557.XSHE,8.2047,2.501756851721715
301372.XSHE,8.2217,6.506666666666661
301365.XSHE,8.2318,3.2549728752260254
301662.XSHE,8.2826,2.5519287833827953
688370.XSHG,8.2861,0.8138903960933197
001278.XSHE,8.2877,2.514142049025758
301578.XSHE,8.2966,4.363207547169812
301106.XSHE,8.3266,2.6642335766423386
001400.XSHE,8.349,1.1388684790595294
301585.XSHE,8.4018,3.5889570552147365
301273.XSHE,8.4111,5.151515151515151
301499.XSHE,8.4266,2.0605550883094903
301520.XSHE,8.4736,2.970027247956386
301170.XSHE,8.4912,2.1233156390363606
001300.XSHE,8.5092,4.645476772616131
301331.XSHE,8.5303,1.0260457774269982
001223.XSHE,8.5318,5.655452436194897
301037.XSHE,8.5589,3.027823240589189
605069.XSHG,8.5845,5.480868665977234
001335.XSHE,8.5861,3.100775193798455
301502.XSHE,8.6179,4.076468934495359
301151.XSHE,8.6448,1.5323117921385743
603391.XSHG,8.6632,-0.027129679869775103
603190.XSHG,8.6874,2.662149080348497
001266.XSHE,8.7086,4.230769230769238
300965.XSHE,8.7795,-2.3665893271461735
301616.XSHE,8.794,3.9285714285714146
688671.XSHG,8.797,5.500550055005493
688485.XSHG,8.7982,2.5746652935118464
603285.XSHG,8.828,3.5494557501183133
688710.XSHG,8.831,2.440633245382573
603097.XSHG,8.852,2.0465116279069884
301533.XSHE,8.857999999999997,3.9162727886563165
301356.XSHE,8.8683,5.201560468140443
603091.XSHG,8.8743,-0.20983912333878418
301386.XSHE,8.9061,1.9617706237424537
301399.XSHE,8.953,3.454894433781197
001268.XSHE,8.9888,2.4721279689772224
002830.XSHE,9.0986,3.480278422273786
301598.XSHE,9.1217,2.3180501107891605
301181.XSHE,9.1412,1.9329896907216426
301233.XSHE,9.1513,1.5906236919213113
301361.XSHE,9.208,4.168044988422093
002718.XSHE,9.2595,3.1227305737109745
001229.XSHE,9.3099,1.4033942558746793
001395.XSHE,9.3539,5.16256590509665
301192.XSHE,9.3631,2.820649281532739
001333.XSHE,9.4292,2.733040507564688
301560.XSHE,9.4477,6.000000000000005
301049.XSHE,9.4689,3.462798315395399
688573.XSHG,9.5306,4.6232876712328785
301237.XSHE,9.5456,2.7577428935086967
301176.XSHE,9.5466,4.826732673267342
301108.XSHE,9.5738,1.8575851393188847
603137.XSHG,9.578,3.1125299281723917
301418.XSHE,9.5786,2.4881889763779474
301633.XSHE,9.6312,2.940732921128042
688701.XSHG,9.6545,2.8612303290414864
001332.XSHE,9.6849,3.167155425219925
688021.XSHG,9.6893,5.843071786310516
301512.XSHE,9.6921,3.7265415549597947
301258.XSHE,9.6942,5.31365313653136
603273.XSHG,9.7093,3.848466626578473
001256.XSHE,9.7198,3.4300791556728383
001373.XSHE,9.7242,3.206483439041574
603350.XSHG,9.7266,1.9820377825952251
301157.XSHE,9.7268,4.4107819113388125
301390.XSHE,9.7523,3.0470914127423754
603163.XSHG,9.7973,1.4579439252336401
603282.XSHG,9.8266,1.683501683501687
301586.XSHE,9.8513,3.1168265039232868
001230.XSHE,9.9179,1.4672686230248422
001238.XSHE,9.9193,0.5510534846029147
301448.XSHE,9.9412,4.619289340101518
301167.XSHE,9.9707,2.145922746781115
301577.XSHE,9.9858,3.1916976698648902
300886.XSHE,9.9967,2.2341376228775633
301519.XSHE,10.0246,1.7543859649122862
301580.XSHE,10.0456,2.1643835616438345
301665.XSHE,10.0609,4.407294832826758
300955.XSHE,10.0745,2.1818181818181737
300417.XSHE,10.1355,3.9250669045495012
603276.XSHG,10.2109,2.9968454258675115
301581.XSHE,10.218,3.34427574887155
301189.XSHE,10.2792,4.228855721393043
001318.XSHE,10.2798,3.380503144654079
301317.XSHE,10.2906,3.6730945821854766
301102.XSHE,10.3327,1.9057171514543558
300651.XSHE,10.3691,4.027355623100304
301300.XSHE,10.3933,4.587155963302769
688251.XSHG,10.4523,5.487804878048785
